ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,UT,BEAVER,457,"$1,454 ",$908 , $- ,$100 , $- , $- ,$2 ,$445 ,81
14,UT,BOX ELDER,"2,919","$13,676 ","$6,736 ", $- ,$923 , $- , $- ,$143 ,"$5,875 ",604
14,UT,CACHE,"4,609","$21,976 ","$11,326 ", $- ,"$3,668 ", $- , $- ,$430 ,"$6,552 ",711
14,UT,CARBON,"1,751","$10,744 ","$5,414 ", $- ,$204 , $- , $- ,$70 ,"$5,056 ",401
14,UT,DAGGETT,110,$747 ,$214 , $- ,$6 , $- , $- ,$1 ,$527 ,42
14,UT,DAVIS,"20,779","$131,287 ","$71,406 ", $- ,"$16,942 ", $- , $- ,"$1,712 ","$41,227 ","4,116"
14,UT,DUCHESNE,976,"$6,883 ","$3,085 ", $- ,$192 , $- , $- ,$67 ,"$3,539 ",400
14,UT,EMERY,723,"$2,855 ","$1,268 ", $- ,$69 , $- , $- ,$63 ,"$1,454 ",145
14,UT,GARFIELD,450,"$1,660 ",$897 , $- ,$67 , $- , $- ,$10 ,$685 ,94
14,UT,GRAND,645,"$4,877 ","$1,862 ", $- ,$49 , $- , $- ,$95 ,"$2,871 ",272
14,UT,IRON,"2,817","$34,502 ","$7,765 ", $- ,"$21,247 ", $- , $- ,$259 ,"$5,232 ",647
14,UT,JUAB,644,"$5,115 ","$1,939 ", $- ,$78 , $- , $- ,$1 ,"$3,097 ",183
14,UT,KANE,674,"$3,520 ","$2,118 ", $- ,$91 , $- , $- ,$4 ,"$1,307 ",163
14,UT,MILLARD,869,"$3,885 ","$1,684 ", $- ,$106 , $- , $- ,$105 ,"$1,989 ",138
14,UT,MORGAN,619,"$3,392 ","$2,107 ", $- ,$292 , $- , $- ,$19 ,$974 ,130
14,UT,PIUTE,132,$681 ,$400 , $- ,$12 , $- , $- ,$13 ,$255 ,33
14,UT,RICH,125,$767 ,$320 , $- ,$16 , $- , $- ,$247 ,$184 ,29
14,UT,SALT LAKE,"49,620","$457,435 ","$143,660 ","$2,156 ","$41,027 ", $- ,"$56,947 ","$4,156 ","$209,489 ","14,071"
14,UT,SAN JUAN,595,"$3,045 ","$1,355 ", $- ,$81 , $- , $- ,$5 ,"$1,604 ",161
14,UT,SANPETE,"1,761","$8,910 ","$4,460 ", $- ,$394 , $- , $- ,$224 ,"$3,833 ",385
14,UT,SEVIER,"1,563","$7,870 ","$4,488 ", $- ,$265 , $- , $- ,$129 ,"$2,989 ",315
14,UT,SUMMIT,"1,924","$7,183 ","$3,613 ", $- ,$535 , $- , $- ,$150 ,"$2,885 ",361
14,UT,TOOELE,"4,517","$26,773 ","$13,420 ", $- ,"$2,050 ", $- , $- ,$260 ,"$11,044 ","1,006"
14,UT,UINTAH,"2,048","$8,222 ","$3,464 ", $- ,$313 , $- , $- ,$76 ,"$4,369 ",503
14,UT,UTAH,"19,575","$94,371 ","$44,886 ", $- ,"$13,887 ", $- , $- ,"$1,393 ","$34,204 ","3,546"
14,UT,WASATCH,"1,008","$4,974 ","$2,271 ", $- ,$387 , $- , $- ,$54 ,"$2,262 ",228
14,UT,WASHINGTON,"11,674","$58,131 ","$34,305 ", $- ,"$5,846 ", $- , $- ,$616 ,"$17,363 ","2,630"
14,UT,WAYNE,203,$769 ,$486 , $- ,$34 , $- , $- , $- ,$249 ,47
14,UT,WEBER,"17,935","$103,642 ","$57,216 ", $- ,"$11,575 ", $- , $- ,"$1,219 ","$33,631 ","3,700"
,,,,,,,,,,,,
14,UT,UTAH (Totals),"151,719","$1,029,344 ","$433,073 ","$2,156 ","$120,457 ", $- ,"$56,947 ","$11,521 ","$405,189 ","35,142"
,,,,,,,,,,,,
14,UT,CONG. DIST (01),"46,390","$256,155 ","$136,873 ", $- ,"$29,096 ", $- , $- ,"$3,461 ","$86,725 ","9,365"
14,UT,CONG. DIST (02),"42,391","$401,983 ","$145,674 ","$2,145 ","$50,676 ", $- ,"$56,947 ","$3,154 ","$143,387 ","10,801"
14,UT,CONG. DIST (03),"31,271","$148,192 ","$65,048 ", $- ,"$16,753 ", $- , $- ,"$2,513 ","$63,879 ","6,130"
14,UT,CONG. DIST (04),"31,667","$223,014 ","$85,478 ",$11 ,"$23,932 ", $- , $- ,"$2,394 ","$111,199 ","8,846"
,,,,,,,,,,,,
14,UT,UTAH (Totals),"151,719","$1,029,344 ","$433,073 ","$2,156 ","$120,457 ", $- ,"$56,947 ","$11,521 ","$405,189 ","35,142"
