,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
BARBOUR," 1,333 "," $12,355 "," $5,897 ", $- , $365 , $- , $- , $60 ," $6,034 ",521,,,
BERKELEY," 10,664 "," $526,888 "," $52,923 "," $9,949 "," $5,993 ", $- ," $370,254 ", $644 ," $87,125 ","4,418",,,
BOONE," 1,544 "," $15,231 "," $9,244 ", $- , $339 , $- , $- , $88 ," $5,560 ",607,,,
BRAXTON," 1,260 "," $14,421 "," $6,588 ", $- , $151 , $- , $- , $90 ," $7,593 ",664,,,
BROOKE," 1,878 "," $9,393 "," $4,716 ", $- , $354 , $- , $- , $175 ," $4,148 ",514,,,
CABELL," 6,921 "," $104,101 "," $35,992 ", $10 ," $3,346 ", $- ," $19,709 ", $431 ," $44,613 ","3,044",,,
CALHOUN, 597 ," $6,180 "," $3,729 ", $- , $82 , $- , $- , $10 ," $2,359 ",230,,,
CLAY, 748 ," $7,592 "," $4,758 ", $- , $107 , $- , $- , $123 ," $2,604 ",351,,,
DODDRIDGE, 628 ," $7,969 "," $2,762 ", $- , $104 , $- , $- , $48 ," $5,056 ",326,,,
FAYETTE," 3,826 "," $59,235 "," $30,932 ", $- ," $1,265 ", $- , $- , $120 ," $26,918 ","1,837",,,
GILMER, 533 ," $5,034 "," $2,639 ", $- , $181 , $- , $- , $3 ," $2,211 ",244,,,
GRANT, 904 ," $8,060 "," $3,360 ", $- , $206 , $- , $- , $19 ," $4,474 ",409,,,
GREENBRIER," 3,226 "," $36,889 "," $17,561 ", $- , $784 , $- , $- , $354 ," $18,190 ","1,353",,,
HAMPSHIRE," 1,671 "," $18,775 "," $8,164 ", $- , $293 , $- , $- , $65 ," $10,253 ",756,,,
HANCOCK," 2,830 "," $15,509 "," $8,441 ", $- , $918 , $- , $- , $71 ," $6,078 ",751,,,
HARDY," 1,151 "," $9,106 "," $4,937 ", $- , $158 , $- , $- , $66 ," $3,945 ",412,,,
HARRISON," 6,430 "," $83,864 "," $34,461 ", $309 ," $1,768 ", $- , $878 , $507 ," $45,941 ","3,133",,,
JACKSON," 2,518 "," $15,865 "," $9,837 ", $- , $597 , $- , $- , $196 ," $5,236 ",697,,,
JEFFERSON," 4,641 "," $51,172 "," $19,762 ", $- ," $6,261 ", $- , $- , $286 ," $24,863 ","1,648",,,
KANAWHA," 14,471 "," $113,161 "," $61,676 ", $- ," $3,917 ", $- , $- ," $1,478 "," $46,090 ","4,904",,,
LEWIS," 1,396 "," $18,743 "," $8,952 ", $- , $451 , $- , $- , $21 ," $9,319 ",640,,,
LINCOLN," 1,327 "," $14,241 "," $8,187 ", $- , $208 , $- , $- , $49 ," $5,797 ",516,,,
LOGAN," 2,122 "," $29,354 "," $17,577 ", $- , $544 , $- , $- , $197 ," $11,037 ",850,,,
MCDOWELL," 1,221 "," $16,576 "," $10,313 ", $- , $260 , $- , $- , $60 ," $5,943 ",518,,,
MARION," 4,809 "," $55,783 "," $25,390 ", $- ," $1,845 ", $- , $- , $486 ," $28,061 ","2,097",,,
MARSHALL," 2,602 "," $12,360 "," $6,536 ", $- , $266 , $- , $- , $80 ," $5,478 ",739,,,
MASON," 2,166 "," $16,362 "," $8,793 ", $- , $430 , $- , $- , $194 ," $6,945 ",703,,,
MERCER," 4,803 "," $67,822 "," $38,584 ", $- ," $1,979 ", $- , $- , $269 ," $26,991 ","2,174",,,
MINERAL," 2,151 "," $19,144 "," $11,424 ", $- , $433 , $- , $- , $112 ," $7,175 ",892,,,
MINGO," 1,289 "," $17,844 "," $11,088 ", $- , $251 , $- , $- , $85 ," $6,420 ",563,,,
MONONGALIA," 5,541 "," $39,354 "," $20,749 ", $- ," $4,405 ", $- , $- , $309 ," $13,891 ","1,548",,,
MONROE, 972 ," $14,805 "," $10,340 ", $- , $320 , $- , $- , $102 ," $4,044 ",455,,,
MORGAN," 1,588 "," $13,861 "," $6,717 ", $- , $397 , $- , $- , $32 ," $6,715 ",560,,,
NICHOLAS," 1,942 "," $26,617 "," $16,397 ", $- , $553 , $- , $- , $30 ," $9,636 ",960,,,
OHIO," 3,470 "," $16,629 "," $9,474 ", $- , $612 , $- , $- , $282 ," $6,260 ","1,002",,,
PENDLETON, 607 ," $5,255 "," $2,769 ", $- , $102 , $- , $- , $77 ," $2,306 ",264,,,
PLEASANTS, 652 ," $4,465 "," $2,386 ", $- , $121 , $- , $- , $47 ," $1,911 ",191,,,
POCAHONTAS, 695 ," $8,849 "," $4,529 ", $- , $90 , $- , $- , $66 ," $4,165 ",350,,,
PRESTON," 2,570 "," $25,322 "," $15,369 ", $- , $634 , $- , $- , $108 ," $9,211 ",965,,,
PUTNAM," 4,793 "," $32,380 "," $17,251 ", $- ," $1,579 ", $- , $- , $115 ," $13,434 ","1,349",,,
RALEIGH," 6,550 "," $110,204 "," $49,330 ", $930 ," $2,053 ", $- ," $1,427 ", $433 ," $56,031 ","3,678",,,
RANDOLPH," 2,355 "," $25,050 "," $13,072 ", $- , $750 , $- , $- , $133 ," $11,095 ","1,042",,,
RITCHIE, 852 ," $10,522 "," $5,040 ", $- , $207 , $- , $- , $43 ," $5,231 ",478,,,
ROANE," 1,112 "," $11,125 "," $6,121 ", $- , $257 , $- , $- , $46 ," $4,702 ",440,,,
SUMMERS," 1,048 "," $17,238 "," $7,387 ", $- , $376 , $- , $- , $39 ," $9,436 ",704,,,
TAYLOR," 1,486 "," $16,749 "," $6,769 ", $- , $257 , $- ," $1,341 ", $5 ," $8,377 ",688,,,
TUCKER, 643 ," $4,916 "," $2,546 ", $- , $131 , $- , $- , $46 ," $2,193 ",264,,,
TYLER, 751 ," $5,864 "," $3,117 ", $- , $91 , $- , $- , $31 ," $2,625 ",235,,,
UPSHUR," 2,058 "," $22,148 "," $10,698 ", $- , $519 , $- , $- , $74 ," $10,857 ",984,,,
WAYNE," 2,943 "," $48,366 "," $21,368 ", $- , $942 , $- ," $1,334 ", $284 ," $24,437 ","1,636",,,
WEBSTER, 560 ," $9,030 "," $5,203 ", $- , $81 , $- , $- , $15 ," $3,731 ",345,,,
WETZEL," 1,461 "," $10,448 "," $5,764 ", $- , $255 , $- , $- , $28 ," $4,401 ",449,,,
WIRT, 514 ," $3,950 "," $2,678 ", $- , $131 , $- , $- , $33 ," $1,108 ",145,,,
WOOD," 7,188 "," $54,695 "," $33,310 ", $- ," $2,019 ", $- , $- , $454 ," $18,911 ","2,385",,,
WYOMING," 1,299 "," $22,166 "," $9,735 ", $- , $318 , $- , $- , $61 ," $12,052 ",661,,,
,,,,,,,,,,,,,
WEST VIRGINIA (Totals),"145,309 "," $1,949,038 "," $763,343 "," $11,198 "," $51,058 ", $- ," $394,943 "," $9,279 "," $719,216 ","58,289 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 48,713 "," $417,542 "," $209,551 ", $70 ," $15,126 ", $- ," $2,219 "," $2,905 "," $187,671 ","17,834",,,
CONG. DIST (02)," 52,144 "," $896,982 "," $241,671 "," $10,187 "," $21,772 ", $- ," $370,254 "," $3,498 "," $249,600 ","19,501",,,
CONG. DIST (03)," 44,452 "," $634,514 "," $312,122 ", $940 ," $14,160 ", $- ," $22,471 "," $2,875 "," $281,946 ","20,954",,,
,,,,,,,,,,,,,
WEST VIRGINIA (Totals),"145,309 "," $1,949,038 "," $763,343 "," $11,198 "," $51,058 ", $- ," $394,943 "," $9,279 "," $719,216 ","58,289 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
