,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
APACHE," 4,558 "," $27,841 "," $15,641 ", $- ," $1,681 ", $- , $- , $71 ," $10,448 ","1,261",,,
COCHISE," 23,258 "," $181,863 "," $101,156 ", $- ," $12,964 ", $- , $- ," $1,259 "," $66,485 ","6,892",,,
COCONINO," 9,004 "," $48,034 "," $22,300 ", $- ," $5,904 ", $- , $- , $332 ," $19,497 ","2,117",,,
GILA," 6,229 "," $35,542 "," $19,032 ", $- , $621 , $- , $- , $249 ," $15,640 ","1,808",,,
GRAHAM," 2,942 "," $15,996 "," $7,027 ", $- , $466 , $- , $- , $81 ," $8,422 ",763,,,
GREENLEE," 1,176 "," $4,128 "," $1,944 ", $- , $151 , $- , $- , $2 ," $2,031 ",218,,,
LA PAZ," 2,794 "," $14,937 "," $6,336 ", $- , $211 , $- , $- , $38 ," $8,351 ",742,,,
MARICOPA," 266,576 "," $1,864,213 "," $825,483 "," $9,934 "," $263,984 ", $- ," $77,336 "," $21,501 "," $665,975 ","66,175",,,
MOHAVE," 25,833 "," $160,974 "," $76,455 ", $- ," $3,726 ", $- , $- , $761 ," $80,032 ","8,357",,,
NAVAJO," 7,285 "," $50,103 "," $25,623 ", $- ," $2,013 ", $- , $- , $294 ," $22,173 ","2,379",,,
PIMA," 88,537 "," $740,787 "," $304,239 "," $4,422 "," $53,531 ", $- ," $1,801 "," $7,338 "," $369,457 ","30,354",,,
PINAL," 41,282 "," $191,380 "," $83,732 ", $- ," $14,609 ", $- , $- ," $1,563 "," $91,475 ","9,575",,,
SANTA CRUZ," 2,108 "," $13,526 "," $6,838 ", $- , $765 , $- , $- , $120 ," $5,803 ",603,,,
YAVAPAI," 27,795 "," $316,584 "," $104,896 "," $4,651 "," $38,068 ", $- , $706 ," $2,967 "," $165,296 ","12,671",,,
YUMA," 19,110 "," $91,687 "," $51,343 ", $- ," $9,187 ", $- , $- , $890 ," $30,267 ","4,038",,,
,,,,,,,,,,,,,
ARIZONA (Totals),"528,486"," $3,757,596 "," $1,652,047 "," $19,007 "," $407,882 ", $- ," $79,843 "," $37,466 "," $1,561,352 ","147,953",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 60,948 "," $359,714 "," $171,365 ", $7 ," $30,307 ", $- , $- ," $2,952 "," $155,083 ","16,290",,,
CONG. DIST (02)," 83,906 "," $652,898 "," $292,228 ", $243 ," $46,583 ", $- , $- ," $5,869 "," $307,975 ","27,151",,,
CONG. DIST (03)," 40,074 "," $358,227 "," $158,469 "," $3,776 "," $33,273 ", $- ," $1,801 "," $3,643 "," $157,264 ","13,344",,,
CONG. DIST (04)," 92,867 "," $637,134 "," $255,822 "," $4,649 "," $50,718 ", $- , $706 ," $4,867 "," $320,372 ","29,923",,,
CONG. DIST (05)," 58,541 "," $314,643 "," $153,968 ", $- ," $48,670 ", $- , $- ," $3,981 "," $108,024 ","13,225",,,
CONG. DIST (06)," 52,221 "," $349,224 "," $171,993 "," $1,626 "," $55,001 ", $- ," $2,422 "," $4,480 "," $113,701 ","10,872",,,
CONG. DIST (07)," 25,753 "," $300,931 "," $127,103 ", $- ," $40,646 ", $- , $- ," $3,310 "," $129,872 ","9,368",,,
CONG. DIST (08)," 71,464 "," $346,562 "," $153,961 ", $- ," $49,235 ", $- , $- ," $4,010 "," $139,357 ","16,443",,,
CONG. DIST (09)," 42,712 "," $438,263 "," $167,138 "," $8,706 "," $53,449 ", $- ," $74,913 "," $4,353 "," $129,704 ","11,337",,,
,,,,,,,,,,,,,
ARIZONA (Totals),"528,486"," $3,757,596 "," $1,652,047 "," $19,007 "," $407,882 ", $- ," $79,843 "," $37,466 "," $1,561,352 ","147,953",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
