,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
BAKER,"1,869"," $18,046 "," $10,290 ", $- , $271 , $- , $- , $93 ," $7,393 ",833,,,,
BENTON,"5,792"," $34,292 "," $17,920 ", $- ," $5,363 ", $- , $- , $890 ," $10,118 ","1,406",,,,
CLACKAMAS,"30,006"," $209,833 "," $105,172 ", $- ," $14,210 ", $- , $- ," $2,214 "," $88,237 ","7,767",,,,
CLATSOP,"3,940"," $31,719 "," $15,777 ", $- ," $1,143 ", $- , $- , $359 ," $14,441 ","1,292",,,,
COLUMBIA,"4,997"," $44,619 "," $23,242 ", $- ," $1,786 ", $- , $- , $294 ," $19,297 ","1,664",,,,
COOS,"7,465"," $86,928 "," $49,126 ", $- ," $2,334 ", $- , $- , $389 ," $35,080 ","2,970",,,,
CROOK,"2,367"," $21,632 "," $11,173 ", $- , $477 , $- , $- , $32 ," $9,949 ","1,244",,,,
CURRY,"3,216"," $31,778 "," $19,374 ", $- , $311 , $- , $- , $230 ," $11,864 ","1,329",,,,
DESCHUTES,"14,994"," $107,768 "," $60,996 ", $- ," $10,085 ", $- , $- ," $1,077 "," $35,610 ","5,293",,,,
DOUGLAS,"13,153"," $237,463 "," $107,758 "," $5,276 "," $2,936 ", $- , $940 , $946 ," $119,607 ","7,174",,,,
GILLIAM,242," $1,767 ", $950 , $- , $52 , $- , $- , $4 , $761 ,88,,,,
GRANT,749," $5,717 "," $3,093 ", $- , $129 , $- , $- , $13 ," $2,483 ",322,,,,
HARNEY,664," $6,306 "," $3,551 ", $- , $33 , $- , $- , $1 ," $2,721 ",348,,,,
HOOD RIVER,"1,307"," $10,093 "," $5,727 ", $- , $495 , $- , $- , $63 ," $3,808 ",426,,,,
JACKSON,"20,566"," $218,497 "," $109,840 "," $7,073 "," $6,865 ", $- ," $2,744 "," $1,434 "," $90,541 ","8,290",,,,
JEFFERSON,"1,726"," $18,217 "," $11,480 ", $- , $690 , $- , $- , $27 ," $6,020 ",810,,,,
JOSEPHINE,"8,879"," $97,871 "," $57,229 ", $- ," $2,674 ", $- , $- , $566 ," $37,401 ","3,834",,,,
KLAMATH,"7,814"," $74,312 "," $46,322 ", $- ," $4,068 ", $- , $- , $302 ," $23,620 ","3,130",,,,
LAKE,858," $9,959 "," $6,510 ", $- , $305 , $- , $- , $38 ," $3,105 ",411,,,,
LANE,"30,464"," $269,215 "," $151,529 ", $- ," $15,860 ", $- , $- ," $1,987 "," $99,839 ","11,073",,,,
LINCOLN,"5,557"," $44,765 "," $25,871 ", $- , $846 , $- , $- , $220 ," $17,828 ","1,870",,,,
LINN,"11,933"," $100,453 "," $59,430 ", $- ," $5,009 ", $- , $- , $810 ," $35,204 ","3,583",,,,
MALHEUR,"2,035"," $14,756 "," $7,262 ", $- , $569 , $- , $- , $83 ," $6,842 ",688,,,,
MARION,"22,849"," $169,517 "," $98,781 ", $- ," $9,434 ", $- , $- ," $1,683 "," $59,620 ","6,427",,,,
MORROW,863," $7,084 "," $3,591 ", $- , $82 , $- , $- , $12 ," $3,399 ",375,,,,
MULTNOMAH,"41,815"," $401,275 "," $140,355 "," $8,425 "," $29,887 ", $- ," $33,788 "," $3,276 "," $185,544 ","12,488",,,,
POLK,"6,753"," $48,309 "," $27,099 ", $- ," $2,774 ", $- , $- , $451 ," $17,985 ","1,849",,,,
SHERMAN,205," $1,827 ", $851 , $- , $52 , $- , $- , $0 , $923 ,83,,,,
TILLAMOOK,"2,533"," $24,283 "," $13,761 ", $- , $374 , $- , $- , $206 ," $9,943 ",937,,,,
UMATILLA,"5,583"," $47,222 "," $26,180 ", $- ," $1,539 ", $- , $- , $317 ," $19,187 ","2,112",,,,
UNION,"2,140"," $21,276 "," $10,707 ", $- ," $1,006 ", $- , $- , $199 ," $9,363 ","1,055",,,,
WALLOWA,716," $7,494 "," $4,269 ", $- , $73 , $- , $- , $47 ," $3,105 ",356,,,,
WASCO,"2,580"," $20,002 "," $10,036 ", $- , $560 , $- , $- , $198 ," $9,209 ",911,,,,
WASHINGTON,"35,395"," $234,973 "," $115,134 ", $- ," $24,560 ", $- , $- ," $3,320 "," $91,958 ","8,699",,,,
WHEELER,178," $1,045 ", $681 , $- , $15 , $- , $- , $10 , $339 ,74,,,,
YAMHILL,"8,130"," $58,080 "," $30,937 ", $- ," $3,892 ", $- , $- , $528 ," $22,723 ","2,170",,,,
,,,,,,,,,,,,,,
OREGON (Totals),"310,333 "," $2,738,393 "," $1,392,002 "," $20,774 "," $150,761 ", $- ," $37,472 "," $22,319 "," $1,115,065 ","103,381 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 55,164 "," $395,784 "," $199,073 ", $0 ," $34,204 ", $- , $- ," $4,817 "," $157,689 ","14,588",,,,
CONG. DIST (02)," 72,563 "," $673,847 "," $370,419 "," $7,032 "," $28,552 ", $- ," $2,744 "," $4,280 "," $260,819 ","29,160",,,,
CONG. DIST (03)," 46,496 "," $429,075 "," $152,729 "," $8,422 "," $30,360 ", $- ," $33,788 "," $3,501 "," $200,275 ","13,769",,,,
CONG. DIST (04)," 74,893 "," $790,364 "," $421,886 "," $5,319 "," $32,838 ", $- , $940 ," $5,413 "," $323,968 ","28,731",,,,
CONG. DIST (05)," 61,216 "," $449,323 "," $247,895 ", $- ," $24,807 ", $- , $- ," $4,308 "," $172,314 ","17,133",,,,
,,,,,,,,,,,,,,
OREGON (Totals),"310,333 "," $2,738,393 "," $1,392,002 "," $20,774 "," $150,761 ", $- ," $37,472 "," $22,319 "," $1,115,065 ","103,381 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
