Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,AZ,APACHE,"4,515","$27,572 ","$16,321 ", $- ,"$1,526 ", $- , $- ,$31 ,"$9,696 ","1,286"
14,AZ,COCHISE,"22,805","$180,559 ","$104,425 ", $- ,"$14,606 ", $- , $- ,"$1,099 ","$60,429 ","6,818"
14,AZ,COCONINO,"9,129","$47,123 ","$22,874 ", $- ,"$6,536 ", $- , $- ,$563 ,"$17,150 ","2,007"
14,AZ,GILA,"6,271","$34,247 ","$18,805 ", $- ,$698 , $- , $- ,$179 ,"$14,565 ","1,807"
14,AZ,GRAHAM,"2,923","$15,721 ","$7,662 ", $- ,$499 , $- , $- ,$98 ,"$7,461 ",748
14,AZ,GREENLEE,"1,156","$4,226 ","$2,040 ", $- ,$120 , $- , $- ,$7 ,"$2,059 ",221
14,AZ,LA PAZ,"2,850","$14,572 ","$6,743 ", $- ,$215 , $- , $- ,$96 ,"$7,519 ",762
14,AZ,MARICOPA,"270,634","$1,787,224 ","$825,679 ","$4,537 ","$256,439 ", $- ,"$104,642 ","$19,723 ","$576,204 ","63,805"
14,AZ,MOHAVE,"26,134","$151,098 ","$77,808 ", $- ,"$3,674 ", $- , $- ,$766 ,"$68,850 ","8,143"
14,AZ,NAVAJO,"7,284","$47,003 ","$27,256 ", $- ,"$1,946 ", $- , $- ,$130 ,"$17,670 ","2,247"
14,AZ,PIMA,"89,600","$723,287 ","$312,374 ","$4,162 ","$59,260 ", $- ,"$1,733 ","$7,082 ","$338,676 ","29,867"
14,AZ,PINAL,"39,752","$171,697 ","$81,078 ", $- ,"$13,113 ", $- , $- ,"$1,127 ","$76,379 ","8,979"
14,AZ,SANTA CRUZ,"2,092","$13,328 ","$6,736 ", $- ,$772 , $- , $- ,$30 ,"$5,789 ",625
14,AZ,YAVAPAI,"27,996","$298,973 ","$104,873 ","$6,753 ","$41,459 ", $- ,$761 ,"$1,574 ","$143,554 ","12,457"
14,AZ,YUMA,"19,065","$90,405 ","$51,495 ", $- ,"$9,176 ", $- , $- ,$646 ,"$29,088 ","4,013"
14,AZ,ARIZONA (Totals),"532,206","$3,607,036 ","$1,666,170 ","$15,452 ","$410,041 ", $- ,"$107,135 ","$33,149 ","$1,375,088 ","143,785"
14,AZ,CONG. DIST (01),"60,374","$316,340 ","$155,751 ", $- ,"$24,690 ", $- , $- ,"$2,748 ","$133,151 ","15,686"
14,AZ,CONG. DIST (02),"84,160","$644,326 ","$306,562 ",$9 ,"$52,954 ", $- , $- ,"$6,270 ","$278,531 ","26,319"
14,AZ,CONG. DIST (03),"40,523","$356,491 ","$164,522 ","$4,201 ","$35,932 ", $- ,"$1,733 ","$1,396 ","$148,708 ","13,591"
14,AZ,CONG. DIST (04),"92,688","$618,404 ","$271,148 ","$6,748 ","$57,883 ", $- ,$761 ,"$3,495 ","$278,369 ","29,017"
14,AZ,CONG. DIST (05),"59,401","$275,440 ","$135,261 ", $- ,"$42,009 ", $- , $- ,"$3,907 ","$94,263 ","12,329"
14,AZ,CONG. DIST (06),"52,993","$287,855 ","$139,553 ",$768 ,"$43,342 ", $- ,"$2,219 ","$4,894 ","$97,078 ","10,657"
14,AZ,CONG. DIST (07),"26,189","$328,521 ","$163,524 ", $- ,"$50,787 ", $- , $- ,"$1,213 ","$112,997 ","9,823"
14,AZ,CONG. DIST (08),"72,464","$349,867 ","$171,519 ", $- ,"$53,270 ", $- , $- ,"$5,608 ","$119,470 ","15,574"
14,AZ,CONG. DIST (09),"43,413","$429,793 ","$158,330 ","$3,727 ","$49,174 ", $- ,"$102,423 ","$3,618 ","$112,522 ","10,789"
14,AZ,ARIZONA (Totals),"532,206","$3,607,036 ","$1,666,170 ","$15,452 ","$410,041 ", $- ,"$107,135 ","$33,149 ","$1,375,088 ","143,785"
